Hour,Avg_Demand_MW,Std_Demand_MW,Min_Demand_MW,Max_Demand_MW
0,23414.772772523644,3134.322164499871,15895.0,33791.0
1,22812.106396217023,3235.301149132751,15150.0,33531.0
2,22106.343952215033,3128.058348226382,14582.0,32627.0
3,21477.96988551518,3048.733264867984,14280.0,32271.0
4,21160.046913887505,2963.617872424533,13597.0,31564.0
5,21923.483449477353,3297.474781274669,13367.0,33422.0
6,25160.997386759584,4599.6413538517145,13737.0,40342.0
7,28903.492782478846,5982.421218800229,13849.0,46787.0
8,30754.335490293677,6095.731161106943,14268.0,47466.0
9,31335.826281732207,6104.726949972955,14808.0,48376.0
10,31021.3318815331,6118.0372930041995,14251.0,48702.0
11,30750.590841214536,6201.408282706625,13915.0,48906.0
12,30682.88912394226,6272.765981280183,13814.0,49105.0
13,30275.37518666003,6392.0281412111535,13205.0,48929.0
14,30109.957690393232,6532.8078696915845,12803.0,48807.0
15,30660.22224987556,6688.205733894542,13248.0,49344.0
16,32569.449352911895,7044.441978315956,14858.0,51845.0
17,34461.127675460426,6896.331722842811,18302.0,52516.0
18,34946.89733698357,6410.379086617149,20314.0,52188.0
19,34358.843081134895,5745.5505623359895,21329.0,51492.0
20,32953.6455948233,4966.073896281655,21267.0,48686.0
21,30837.174340467893,4080.368654610693,20397.0,44830.0
22,27965.425211548034,3376.3253114655417,19187.0,40037.0
23,24875.37220009955,2933.966319457455,17222.0,35165.0
