Year,Demand_MW,Is_Historical,Is_Forecast,Data_Type
2015,32260.728407551414,1,0,Historical
2016,31393.87285255222,1,0,Historical
2017,30397.811053107398,1,0,Historical
2018,30278.113504330944,1,0,Historical
2019,29378.488251114737,1,0,Historical
2020,27162.6761223247,1,0,Historical
2021,28363.51309483807,1,0,Historical
2022,26638.370852401218,1,0,Historical
2023,26072.940859681687,1,0,Historical
2024,26296.37640543248,1,0,Historical
2025,26187.355191798943,1,0,Historical
2026,22606.4323096441,0,1,Forecast
2027,21479.3442494178,0,1,Forecast
2028,20267.84532795208,0,1,Forecast
2029,19219.752293145364,0,1,Forecast
2030,18092.745104926504,0,1,Forecast
2031,16965.472140777623,0,1,Forecast
2032,15771.743034427955,0,1,Forecast
2033,14706.294906883551,0,1,Forecast
2034,13579.057900209044,0,1,Forecast
2035,12451.60003213738,0,1,Forecast
